"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2015-11-16 06:22:52 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2014,Ireland,Mali,"Refugees (incl. refugee-like situations)",7
2014,Ireland,Nigeria,"Refugees (incl. refugee-like situations)",426
2014,Ireland,Pakistan,"Refugees (incl. refugee-like situations)",117
2014,Ireland,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",176
2014,Ireland,Turkey,"Refugees (incl. refugee-like situations)",13
2014,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",8991
2014,Italy,Armenia,"Refugees (incl. refugee-like situations)",225
2014,Italy,China,"Refugees (incl. refugee-like situations)",98
2014,Italy,Algeria,"Refugees (incl. refugee-like situations)",113
2014,Italy,Egypt,"Refugees (incl. refugee-like situations)",1145
2014,Italy,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",1412
2014,Italy,Iraq,"Refugees (incl. refugee-like situations)",2913
2014,Italy,Libya,"Refugees (incl. refugee-like situations)",227
2014,Italy,"Sri Lanka","Refugees (incl. refugee-like situations)",673
2014,Italy,Morocco,"Refugees (incl. refugee-like situations)",253
2014,Italy,Mali,"Refugees (incl. refugee-like situations)",5552
2014,Italy,Nigeria,"Refugees (incl. refugee-like situations)",6293
2014,Italy,Pakistan,"Refugees (incl. refugee-like situations)",5764
2014,Italy,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1144
2014,Italy,Turkey,"Refugees (incl. refugee-like situations)",2281
2014,Italy,Various/Unknown,"Refugees (incl. refugee-like situations)",982
2014,Lithuania,Afghanistan,"Refugees (incl. refugee-like situations)",186
2014,Lithuania,Armenia,"Refugees (incl. refugee-like situations)",0
2014,Lithuania,Egypt,"Refugees (incl. refugee-like situations)",0
2014,Lithuania,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",6
2014,Lithuania,Iraq,"Refugees (incl. refugee-like situations)",18
2014,Lithuania,"Sri Lanka","Refugees (incl. refugee-like situations)",7
2014,Lithuania,Nigeria,"Refugees (incl. refugee-like situations)",0
2014,Lithuania,Pakistan,"Refugees (incl. refugee-like situations)",0
2014,Lithuania,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",20
2014,Luxembourg,Afghanistan,"Refugees (incl. refugee-like situations)",35
2014,Luxembourg,Armenia,"Refugees (incl. refugee-like situations)",0
2014,Luxembourg,China,"Refugees (incl. refugee-like situations)",0
2014,Luxembourg,Algeria,"Refugees (incl. refugee-like situations)",0
2014,Luxembourg,Egypt,"Refugees (incl. refugee-like situations)",0
2014,Luxembourg,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",142
2014,Luxembourg,Iraq,"Refugees (incl. refugee-like situations)",204
2014,Luxembourg,Libya,"Refugees (incl. refugee-like situations)",0
2014,Luxembourg,"Sri Lanka","Refugees (incl. refugee-like situations)",0
2014,Luxembourg,Morocco,"Refugees (incl. refugee-like situations)",0
2014,Luxembourg,Nigeria,"Refugees (incl. refugee-like situations)",5
2014,Luxembourg,Pakistan,"Refugees (incl. refugee-like situations)",0
2014,Luxembourg,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",59
2014,Luxembourg,Turkey,"Refugees (incl. refugee-like situations)",7
2014,Luxembourg,Various/Unknown,"Refugees (incl. refugee-like situations)",0
2014,Malta,China,"Refugees (incl. refugee-like situations)",12
2014,Malta,Egypt,"Refugees (incl. refugee-like situations)",30
2014,Malta,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",13
2014,Malta,Iraq,"Refugees (incl. refugee-like situations)",26
2014,Malta,Libya,"Refugees (incl. refugee-like situations)",539
2014,Malta,"Sri Lanka","Refugees (incl. refugee-like situations)",7
2014,Malta,Morocco,"Refugees (incl. refugee-like situations)",12
2014,Malta,Mali,"Refugees (incl. refugee-like situations)",12
2014,Malta,Nigeria,"Refugees (incl. refugee-like situations)",36
2014,Malta,Pakistan,"Refugees (incl. refugee-like situations)",46
2014,Malta,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1047
2014,Malta,Turkey,"Refugees (incl. refugee-like situations)",0
2014,Malta,Various/Unknown,"Refugees (incl. refugee-like situations)",615
2014,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",6244
2014,Netherlands,Armenia,"Refugees (incl. refugee-like situations)",811
2014,Netherlands,China,"Refugees (incl. refugee-like situations)",1259
2014,Netherlands,Algeria,"Refugees (incl. refugee-like situations)",35
2014,Netherlands,Egypt,"Refugees (incl. refugee-like situations)",189
2014,Netherlands,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",4207
2014,Netherlands,Iraq,"Refugees (incl. refugee-like situations)",14396
2014,Netherlands,Libya,"Refugees (incl. refugee-like situations)",336
2014,Netherlands,"Sri Lanka","Refugees (incl. refugee-like situations)",735
2014,Netherlands,Morocco,"Refugees (incl. refugee-like situations)",20
2014,Netherlands,Mali,"Refugees (incl. refugee-like situations)",19
2014,Netherlands,Nigeria,"Refugees (incl. refugee-like situations)",265
2014,Netherlands,Pakistan,"Refugees (incl. refugee-like situations)",355
2014,Netherlands,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",8692
2014,Netherlands,Turkey,"Refugees (incl. refugee-like situations)",423
2014,Netherlands,Various/Unknown,"Refugees (incl. refugee-like situations)",3339
2014,Poland,Afghanistan,"Refugees (incl. refugee-like situations)",93
2014,Poland,Armenia,"Refugees (incl. refugee-like situations)",80
2014,Poland,China,"Refugees (incl. refugee-like situations)",14
2014,Poland,Algeria,"Refugees (incl. refugee-like situations)",0
2014,Poland,Egypt,"Refugees (incl. refugee-like situations)",31
2014,Poland,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",18
2014,Poland,Iraq,"Refugees (incl. refugee-like situations)",154
2014,Poland,Libya,"Refugees (incl. refugee-like situations)",8
2014,Poland,"Sri Lanka","Refugees (incl. refugee-like situations)",54
2014,Poland,Morocco,"Refugees (incl. refugee-like situations)",0
2014,Poland,Nigeria,"Refugees (incl. refugee-like situations)",11
2014,Poland,Pakistan,"Refugees (incl. refugee-like situations)",18
2014,Poland,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",240
2014,Poland,Turkey,"Refugees (incl. refugee-like situations)",29
2014,Poland,Various/Unknown,"Refugees (incl. refugee-like situations)",0
2014,Portugal,Afghanistan,"Refugees (incl. refugee-like situations)",10
2014,Portugal,Armenia,"Refugees (incl. refugee-like situations)",0
2014,Portugal,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",19
2014,Portugal,Iraq,"Refugees (incl. refugee-like situations)",7
2014,Portugal,Libya,"Refugees (incl. refugee-like situations)",6
2014,Portugal,"Sri Lanka","Refugees (incl. refugee-like situations)",31
2014,Portugal,Morocco,"Refugees (incl. refugee-like situations)",0
2014,Portugal,Mali,"Refugees (incl. refugee-like situations)",6
2014,Portugal,Nigeria,"Refugees (incl. refugee-like situations)",22
2014,Portugal,Pakistan,"Refugees (incl. refugee-like situations)",26
2014,Portugal,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",15
2014,Portugal,Turkey,"Refugees (incl. refugee-like situations)",0
2014,Portugal,Various/Unknown,"Refugees (incl. refugee-like situations)",24
2014,Romania,Afghanistan,"Refugees (incl. refugee-like situations)",120
2014,Romania,Armenia,"Refugees (incl. refugee-like situations)",0
2014,Romania,China,"Refugees (incl. refugee-like situations)",0
2014,Romania,Algeria,"Refugees (incl. refugee-like situations)",5
2014,Romania,Egypt,"Refugees (incl. refugee-like situations)",17
2014,Romania,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",65
2014,Romania,Iraq,"Refugees (incl. refugee-like situations)",323
2014,Romania,Morocco,"Refugees (incl. refugee-like situations)",0
2014,Romania,Nigeria,"Refugees (incl. refugee-like situations)",5
2014,Romania,Pakistan,"Refugees (incl. refugee-like situations)",25
2014,Romania,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",1278
2014,Romania,Turkey,"Refugees (incl. refugee-like situations)",21
2014,Slovakia,Afghanistan,"Refugees (incl. refugee-like situations)",278
2014,Slovakia,Armenia,"Refugees (incl. refugee-like situations)",10
2014,Slovakia,China,"Refugees (incl. refugee-like situations)",5
2014,Slovakia,Algeria,"Refugees (incl. refugee-like situations)",0
2014,Slovakia,Egypt,"Refugees (incl. refugee-like situations)",0
2014,Slovakia,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",36
2014,Slovakia,Iraq,"Refugees (incl. refugee-like situations)",101
2014,Slovakia,Libya,"Refugees (incl. refugee-like situations)",6
2014,Slovakia,Mali,"Refugees (incl. refugee-like situations)",0
2014,Slovakia,Nigeria,"Refugees (incl. refugee-like situations)",0
2014,Slovakia,Pakistan,"Refugees (incl. refugee-like situations)",0
2014,Slovakia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",40
2014,Slovakia,Turkey,"Refugees (incl. refugee-like situations)",0
2014,Slovakia,Various/Unknown,"Refugees (incl. refugee-like situations)",0
2014,Slovenia,Afghanistan,"Refugees (incl. refugee-like situations)",23
2014,Slovenia,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",25
2014,Slovenia,Iraq,"Refugees (incl. refugee-like situations)",0
2014,Slovenia,"Sri Lanka","Refugees (incl. refugee-like situations)",0
2014,Slovenia,Morocco,"Refugees (incl. refugee-like situations)",0
2014,Slovenia,Nigeria,"Refugees (incl. refugee-like situations)",0
2014,Slovenia,Pakistan,"Refugees (incl. refugee-like situations)",0
2014,Slovenia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",20
2014,Slovenia,Turkey,"Refugees (incl. refugee-like situations)",0
2014,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",12090
2014,Sweden,"United Arab Emirates","Refugees (incl. refugee-like situations)",0
2014,Sweden,Armenia,"Refugees (incl. refugee-like situations)",573
2014,Sweden,China,"Refugees (incl. refugee-like situations)",272
2014,Sweden,Algeria,"Refugees (incl. refugee-like situations)",74
2014,Sweden,Egypt,"Refugees (incl. refugee-like situations)",228
2014,Sweden,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",4152
2014,Sweden,Iraq,"Refugees (incl. refugee-like situations)",24184
2014,Sweden,Libya,"Refugees (incl. refugee-like situations)",408
2014,Sweden,"Sri Lanka","Refugees (incl. refugee-like situations)",49
2014,Sweden,Morocco,"Refugees (incl. refugee-like situations)",148
2014,Sweden,Mali,"Refugees (incl. refugee-like situations)",23
2014,Sweden,Nigeria,"Refugees (incl. refugee-like situations)",365
2014,Sweden,Pakistan,"Refugees (incl. refugee-like situations)",305
2014,Sweden,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",34285
2014,Sweden,Turkey,"Refugees (incl. refugee-like situations)",395
2014,Sweden,Various/Unknown,"Refugees (incl. refugee-like situations)",866
